ID,Name,Parameter,Language,Frequency,Confidence,References
isi,SOV,"Order of Subject, Object and Verb",Isirawa,,,Oguri 1985
ita,SVO,"Order of Subject, Object and Verb",Italian,,,Vincent 1988;Maiden and Robustelli 2000;Sauer 1891
ite,SOV,"Order of Subject, Object and Verb",Itelmen,,,Volodin and Zhukova 1968
ito,SVO,"Order of Subject, Object and Verb",Itonama,,,Camp and Liccardi 1967
iwa,SVO,"Order of Subject, Object and Verb",Iwaidja,,,Capell 1962b
iwm,SOV,"Order of Subject, Object and Verb",Iwam,,,Conrad 1971
kwy,SVO,"Order of Subject, Object and Verb",Iwoyo,,,Mingas 1994
ixi,VSO,"Order of Subject, Object and Verb",Ixil,,,Elliot 1960
izi,SVO,"Order of Subject, Object and Verb",Izi,,,Meier et al. 1975
jab,SVO,"Order of Subject, Object and Verb",Jabêm,,,Dempwolff 1939
jbt,SOV,"Order of Subject, Object and Verb",Jabutí,,,Aikhenvald and Dixon 1999
jad,SOV,"Order of Subject, Object and Verb",Jad,,,Sharma 1989c
jak,VSO,"Order of Subject, Object and Verb",Jakaltek,,,Craig 1977;Day 1973
jam,No dominant order,"Order of Subject, Object and Verb",Jaminjung,,,Schultze-Berndt 2000
jms,SOV,"Order of Subject, Object and Verb",Jamsay,,,Heath 2008
jpn,SOV,"Order of Subject, Object and Verb",Japanese,,,Shibatani 1990;Hinds 1986
jrw,SOV,"Order of Subject, Object and Verb",Jarawa (in Andamans),,,Kumar 2003
jar,SVO,"Order of Subject, Object and Verb",Jarawa (in Nigeria),,,Lukas and Willms 1961
jeb,No dominant order,"Order of Subject, Object and Verb",Jebero,,,Bendor-Samuel 1961b
jng,SOV,"Order of Subject, Object and Verb",Jingpho,,,Hertz 1917
jin,SOV,"Order of Subject, Object and Verb",Jino,,,Gai 1986
jiv,SOV,"Order of Subject, Object and Verb",Jivaro,,,Beuchat and Rivet 1909
joh,SOV,"Order of Subject, Object and Verb",Johari,,,Sharma 1989a
juh,SVO,"Order of Subject, Object and Verb",Ju|'hoan,,,Snyman 1970;Dickens 1992
juk,SVO,"Order of Subject, Object and Verb",Jukun,,,Welmers 1968b;Shimuzu 1980
jmo,SVO,"Order of Subject, Object and Verb",Jur Mödö,,,Persson and Persson 1991;Persson 1981
kab,SOV,"Order of Subject, Object and Verb",Kabardian,,,Colarusso 1989
kby,SVO,"Order of Subject, Object and Verb",Kabiyé,,,Lebikaza 1999
kbl,VSO,"Order of Subject, Object and Verb",Kabyle,,,Chaker 1983
kac,SOV,"Order of Subject, Object and Verb",Kachari,,,Endle 1884
kdz,VSO,"Order of Subject, Object and Verb",Kadazan,,,Antonissen 1958
kdw,SVO,"Order of Subject, Object and Verb",Kadiwéu,,,Sandalo 1997
kad,SVO,"Order of Subject, Object and Verb",Kadugli,,,Kutoado 1969;Matsushita 1986
kng,SOV,"Order of Subject, Object and Verb",Kaingang,,,Wiesemann 1972
krr,SOV,"Order of Subject, Object and Verb",Kairiru,,,Wivell 1981
kae,SOV,"Order of Subject, Object and Verb",Kaki Ae,,,Clifton 1997
kls,VSO,"Order of Subject, Object and Verb",Kalispel,,,Vogt 1940
kgu,SOV,"Order of Subject, Object and Verb",Kalkatungu,,,Blake 1969
kll,SOV,"Order of Subject, Object and Verb",Kaluli,,,Schieffelin and Feld 1998
kma,SOV,"Order of Subject, Object and Verb",Kamaiurá,,,Seki 2000
kmz,SOV,"Order of Subject, Object and Verb",Kamasau,,,Sanders and Sanders 1994
kms,SOV,"Order of Subject, Object and Verb",Kamass,,,Künnap 1999b
kba,SVO,"Order of Subject, Object and Verb",Kamba,,,Whiteley and Muli 1962
kbo,SOV,"Order of Subject, Object and Verb",Kambot,,,Laycock and Z'graggen 1975
kmr,SOV,"Order of Subject, Object and Verb",Kamoro,,,Boelaars 1950
kmw,No dominant order,"Order of Subject, Object and Verb",Kamu,,,Harvey 1990
kan,SVO,"Order of Subject, Object and Verb",Kana,,,Ikoro 1996
knk,SVO,"Order of Subject, Object and Verb",Kanakuru,,,Newman 1974
xns,SOV,"Order of Subject, Object and Verb",Kanashi,,,Sharma 1992
kbu,SOV,"Order of Subject, Object and Verb",Kanembu,,,Lukas 1931
knd,SOV,"Order of Subject, Object and Verb",Kannada,,,Schiffman 1983;Sridhar 1990
kno,SOV,"Order of Subject, Object and Verb",Kanoê,,,Bacelar 2004
knb,SOV,"Order of Subject, Object and Verb",Kanum (Bädi),,,Boelaars 1950
knr,SOV,"Order of Subject, Object and Verb",Kanuri,,,Hutchison 1976;Hutchison 1981;Lukas 1937
krc,SOV,"Order of Subject, Object and Verb",Karachay-Balkar,,,Seegmiller 1996
kar,SVO,"Order of Subject, Object and Verb",Kara (in Central African Republic),,,Santandrea 1970
jva,SOV,"Order of Subject, Object and Verb",Karajá,,,Maia 1998
kkp,SOV,"Order of Subject, Object and Verb",Karakalpak,,,Wurm 1951
kkw,No dominant order,"Order of Subject, Object and Verb",Karankawa,,,Gatschet 1891a
kbw,SVO,"Order of Subject, Object and Verb",Karen (Bwe),,,Henderson 1997
kpw,SVO,"Order of Subject, Object and Verb",Karen (Pwo),,,Kato 2003
ksg,SVO,"Order of Subject, Object and Verb",Karen (Sgaw),,,Jones 1961
kmj,VSO,"Order of Subject, Object and Verb",Karimojong,,,Novelli 1985
kyr,SOV,"Order of Subject, Object and Verb",Karkar-Yuri,,,Rigden n.d. (a)
kaa,SOV,"Order of Subject, Object and Verb",Karó (Arára),,,Gabas 1999
krk,No dominant order,"Order of Subject, Object and Verb",Karok,,,Bright 1977
kas,SVO,"Order of Subject, Object and Verb",Kashmiri,,,Wali and Koul 1997
xsm,SVO,"Order of Subject, Object and Verb",Kàsim,,,Bonvini 1988
