ID,Name,Parameter,Language,Frequency,Confidence,References
kha,Optional pronouns in subject position,Expression of Pronominal Subjects,Khalkha,,,Poppe 1970
kmh,Subject affixes on verb,Expression of Pronominal Subjects,Kham,,,Watters 1998
kty,Subject affixes on verb,Expression of Pronominal Subjects,Khanty,,,Honti 1988
khs,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Khasi,,,Rabel 1961;Nagaraja 1985
kmu,Optional pronouns in subject position,Expression of Pronominal Subjects,Khmu',,,Smalley 1961
kho,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Khoekhoe,,,Hagman 1977
kik,Subject affixes on verb,Expression of Pronominal Subjects,Kikuyu,,,Barlow 1960
klv,Subject affixes on verb,Expression of Pronominal Subjects,Kilivila,,,Senft 1986
kga,Subject affixes on verb,Expression of Pronominal Subjects,Kinga,,,Wolff 1905
kio,Subject affixes on verb,Expression of Pronominal Subjects,Kiowa,,,Watkins 1984
kgz,Subject affixes on verb,Expression of Pronominal Subjects,Kirghiz,,,Hebert and Poppe 1963
krb,Subject pronouns in different position,Expression of Pronominal Subjects,Kiribati,,,Cowell 1951;Groves et al. 1985
kis,Subject pronouns in different position,Expression of Pronominal Subjects,Kisi,,,Childs 1995
klm,Optional pronouns in subject position,Expression of Pronominal Subjects,Klamath,,,Gatschet 1890
koa,Subject affixes on verb,Expression of Pronominal Subjects,Koasati,,,Kimball 1991
kob,Subject affixes on verb,Expression of Pronominal Subjects,Kobon,,,Davies 1981b
koe,Subject affixes on verb,Expression of Pronominal Subjects,Koegu,,,Hieda 1998
kkt,Subject pronouns in different position,Expression of Pronominal Subjects,Kokota,,,Palmer 2002
kmb,Subject affixes on verb,Expression of Pronominal Subjects,Kombai,,,de Vries 1989
kon,Subject affixes on verb,Expression of Pronominal Subjects,Kongo,,,Bentley 1887
knw,Subject clitics on variable host,Expression of Pronominal Subjects,Konkow,,,Ultan 1967
krn,Subject clitics on variable host,Expression of Pronominal Subjects,Korana,,,Meinhof 1930
kor,Optional pronouns in subject position,Expression of Pronominal Subjects,Korean,,,Ramstedt 1968;Sohn 1999
kku,Optional pronouns in subject position,Expression of Pronominal Subjects,Korku,,,Drake 1903
kfe,Subject affixes on verb,Expression of Pronominal Subjects,Koromfe,,,Rennison 1997
krw,Subject affixes on verb,Expression of Pronominal Subjects,Korowai,,,van Enk and de Vries 1997
kse,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Koyraboro Senni,,,Heath 1999a
kch,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Koyra Chiini,,,Heath 1999b
